formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber
Ca0.89Pr0.08Sr0.03MnO3,373.0,72.66,152.506882,320.83,5.24,5.0399,5.3182,12.8789,27.08,5242.73,2798.81,4382.39,9.43159,3.8249,21.11857,400.7307,187.95922,475.52
Ba6Ti2Nb8O30,350.0,948.0,2142.95504,3126.0,50.0,48.94,47.46,124.42,240.0,48972.0,33426.9,61424.9,98.6829,31.944,295.2777,7252.297,584.6022,3954.0
Bi0.94Y0.06CuSeO,300.0,151.36,360.2812988,321.56,5.06,4.4314,4.7396,9.862,27.88,3696.82,2520.32,5828.22,23.18463,1.7508,31.27259,461.7019,409.97654,273.92
Yb0.066Co4Sb12,185.3,724.62,1708.27344,1254.574,20.198,22.18652,21.70296,32.1926,96.198,13087.798,17994.4819,39347.3639,116.34002,4.2099,303.70556,2440.1874,693.9034,2782.85
Yb0.3Co4Sb12,434.5,741.0,1748.7648,1263.7,20.9,22.706,22.068,32.45,96.9,13228.9,18250.045,39691.145,117.971,4.245,305.498,2470.35,702.07,2835.5
Yb0.40Co4Sb12,115.7,748.0,1766.0688,1267.6,21.2,22.928,22.224,32.56,97.2,13289.2,18359.26,39838.06,118.668,4.26,306.264,2483.24,705.56,2858.0
Eu0.27Co4Sb12,347.7,737.01,1737.88335,1258.75,20.81,22.6637,22.0995,32.444,96.81,13195.69,18218.0905,39736.9805,117.2948,4.2486,305.6867,2470.425,695.353,2829.83
Ce0.14Co4Sb12,121.2,728.12,1716.4689,1254.1,20.42,22.299,21.831,32.2768,96.42,13122.76,18072.361,39744.621,116.8124,4.2266,303.9644,2489.64,693.196,2795.16
Mg2Si,300.0,38.0,76.6955,214.0,1.0,4.01,3.71,4.52,8.0,2263.0,3527.45,5354.45,5.81,2.75,68.458,639.02,460.0,615.0
Mg1.98Li0.02Si0.4Sn0.6,300.0,59.42,130.72292,213.86,1.0,4.2184,3.8908,4.5494,7.98,2211.84,2811.28,5308.49,8.77406,2.5118,42.22632,586.3384,409.734,564.1
Mn30.36Re6Si63.64,873.0,2099.96,4572.522418,6866.64,136.36,130.8,122.3808,179.374,509.08,76412.8,173895.24,270353.52,499.856,60.5372,3782.04,35603.1208,9943.5352,22198.4
MnSi1.746Te0.03,823.0,51.004,107.803333,190.888,3.776,3.58496,3.36856,4.9304,14.164,2117.172,4477.6094,6861.7884,11.68538,1.72566,100.835,898.42462,266.2985,617.902
MnSi1.733,850.0,49.262,103.6102215,187.174,3.733,3.53363,3.31363,4.8427,13.932,2080.871,4434.04895,6789.73395,11.46789,1.71043,99.65315,891.85326,264.304,610.391
