formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,seebeck_coefficient,Thermal_conductivity,electrical_conductivity(S/m)
Ge12Sb2Te15,373,1266.0,3028.84,2468.0,29.0,36.11,37.65,59.72,148.0,23847.0,27294.65,60628.35,170.82,7.26,745.37,4913.33,802.65,5312.0,176.0,1.49,35960.0
Ge12Sb2Te15,473,1266.0,3028.84,2468.0,29.0,36.11,37.65,59.72,148.0,23847.0,27294.65,60628.35,170.82,7.26,745.37,4913.33,802.65,5312.0,216.0,1.5,30337.0
Ge12Sb2Te15,523,1266.0,3028.84,2468.0,29.0,36.11,37.65,59.72,148.0,23847.0,27294.65,60628.35,170.82,7.26,745.37,4913.33,802.65,5312.0,233.0,1.49,30300.0
Ge12Sb2Te15,573,1266.0,3028.84,2468.0,29.0,36.11,37.65,59.72,148.0,23847.0,27294.65,60628.35,170.82,7.26,745.37,4913.33,802.65,5312.0,236.0,1.5,42150.0
Ge12Sb2Te15,623,1266.0,3028.84,2468.0,29.0,36.11,37.65,59.72,148.0,23847.0,27294.65,60628.35,170.82,7.26,745.37,4913.33,802.65,5312.0,238.0,1.53,51700.0
Ge12Sb2Te15,723,1266.0,3028.84,2468.0,29.0,36.11,37.65,59.72,148.0,23847.0,27294.65,60628.35,170.82,7.26,745.37,4913.33,802.65,5312.0,257.0,1.48,42700.0
Ge4Sb2Te7,373,594.0,1427.16,1116.0,13.0,16.27,17.09,26.84,68.0,10799.0,11749.05,25699.55,78.34,3.1,309.93,1845.73,304.65,2296.0,51.0,2.09,200000.0
Ge4Sb2Te7,473,594.0,1427.16,1116.0,13.0,16.27,17.09,26.84,68.0,10799.0,11749.05,25699.55,78.34,3.1,309.93,1845.73,304.65,2296.0,72.0,1.94,138764.0
Ge4Sb2Te7,523,594.0,1427.16,1116.0,13.0,16.27,17.09,26.84,68.0,10799.0,11749.05,25699.55,78.34,3.1,309.93,1845.73,304.65,2296.0,83.0,1.89,117780.0
Ge4Sb2Te7,573,594.0,1427.16,1116.0,13.0,16.27,17.09,26.84,68.0,10799.0,11749.05,25699.55,78.34,3.1,309.93,1845.73,304.65,2296.0,95.0,1.82,101110.0
Ge4Sb2Te7,623,594.0,1427.16,1116.0,13.0,16.27,17.09,26.84,68.0,10799.0,11749.05,25699.55,78.34,3.1,309.93,1845.73,304.65,2296.0,107.0,1.79,88335.0
Ge4Sb2Te7,673,594.0,1427.16,1116.0,13.0,16.27,17.09,26.84,68.0,10799.0,11749.05,25699.55,78.34,3.1,309.93,1845.73,304.65,2296.0,121.0,1.76,78090.0
Ge4Sb2Te7,723,594.0,1427.16,1116.0,13.0,16.27,17.09,26.84,68.0,10799.0,11749.05,25699.55,78.34,3.1,309.93,1845.73,304.65,2296.0,132.0,1.77,72480.0
Li2Ge11Sb2Te15,373,1240.0,2970.112,2391.0,28.0,38.2,39.11,59.67,146.0,24125.0,26981.4,60755.5,166.586,14.14,714.43,4874.27,912.15,5545.0,100.0,1.85,179400.0
Li2Ge11Sb2Te15,473,1240.0,2970.112,2391.0,28.0,38.2,39.11,59.67,146.0,24125.0,26981.4,60755.5,166.586,14.14,714.43,4874.27,912.15,5545.0,144.0,1.9,140000.0
Li2Ge11Sb2Te15,523,1240.0,2970.112,2391.0,28.0,38.2,39.11,59.67,146.0,24125.0,26981.4,60755.5,166.586,14.14,714.43,4874.27,912.15,5545.0,157.0,1.88,128400.0
Li2Ge11Sb2Te15,573,1240.0,2970.112,2391.0,28.0,38.2,39.11,59.67,146.0,24125.0,26981.4,60755.5,166.586,14.14,714.43,4874.27,912.15,5545.0,170.0,1.85,115000.0
Li2Ge11Sb2Te15,623,1240.0,2970.112,2391.0,28.0,38.2,39.11,59.67,146.0,24125.0,26981.4,60755.5,166.586,14.14,714.43,4874.27,912.15,5545.0,181.0,1.74,103889.0
Li2Ge11Sb2Te15,723,1240.0,2970.112,2391.0,28.0,38.2,39.11,59.67,146.0,24125.0,26981.4,60755.5,166.586,14.14,714.43,4874.27,912.15,5545.0,198.0,1.7,86517.0
Li2Ge3Sb2Te7,373,568.0,1368.432,1039.0,12.0,18.36,18.55,26.79,66.0,11077.0,11435.8,25826.7,74.106,9.98,278.99,1806.67,414.15,2529.0,270.0,0.8,16670.0
Li2Ge3Sb2Te7,473,568.0,1368.432,1039.0,12.0,18.36,18.55,26.79,66.0,11077.0,11435.8,25826.7,74.106,9.98,278.99,1806.67,414.15,2529.0,240.0,0.78,27230.0
Li2Ge3Sb2Te7,523,568.0,1368.432,1039.0,12.0,18.36,18.55,26.79,66.0,11077.0,11435.8,25826.7,74.106,9.98,278.99,1806.67,414.15,2529.0,247.0,0.78,26650.0
Li2Ge3Sb2Te7,573,568.0,1368.432,1039.0,12.0,18.36,18.55,26.79,66.0,11077.0,11435.8,25826.7,74.106,9.98,278.99,1806.67,414.15,2529.0,247.0,0.78,26944.0
Li2Ge3Sb2Te7,623,568.0,1368.432,1039.0,12.0,18.36,18.55,26.79,66.0,11077.0,11435.8,25826.7,74.106,9.98,278.99,1806.67,414.15,2529.0,249.0,0.78,26940.0
Li2Ge3Sb2Te7,673,568.0,1368.432,1039.0,12.0,18.36,18.55,26.79,66.0,11077.0,11435.8,25826.7,74.106,9.98,278.99,1806.67,414.15,2529.0,251.0,0.79,26111.0
Li2Ge3Sb2Te7,723,568.0,1368.432,1039.0,12.0,18.36,18.55,26.79,66.0,11077.0,11435.8,25826.7,74.106,9.98,278.99,1806.67,414.15,2529.0,253.0,0.81,25556.0
LiGe11.5Sb2Te15,373,1253.0,2999.476,2429.5,28.5,37.155,38.38,59.695,147.0,23986.0,27138.025,60691.925,168.703,10.7,729.9,4893.8,857.4,5428.5,205.0,1.35,41580.0
LiGe11.5Sb2Te15,473,1253.0,2999.476,2429.5,28.5,37.155,38.38,59.695,147.0,23986.0,27138.025,60691.925,168.703,10.7,729.9,4893.8,857.4,5428.5,243.0,1.33,39890.0
LiGe11.5Sb2Te15,523,1253.0,2999.476,2429.5,28.5,37.155,38.38,59.695,147.0,23986.0,27138.025,60691.925,168.703,10.7,729.9,4893.8,857.4,5428.5,243.0,1.38,46630.0
LiGe11.5Sb2Te15,573,1253.0,2999.476,2429.5,28.5,37.155,38.38,59.695,147.0,23986.0,27138.025,60691.925,168.703,10.7,729.9,4893.8,857.4,5428.5,250.0,1.37,46070.0
LiGe11.5Sb2Te15,623,1253.0,2999.476,2429.5,28.5,37.155,38.38,59.695,147.0,23986.0,27138.025,60691.925,168.703,10.7,729.9,4893.8,857.4,5428.5,257.0,1.34,41600.0
LiGe11.5Sb2Te15,723,1253.0,2999.476,2429.5,28.5,37.155,38.38,59.695,147.0,23986.0,27138.025,60691.925,168.703,10.7,729.9,4893.8,857.4,5428.5,266.0,1.34,37640.0
LiGe3.5Sb2Te7,373,581.0,1397.796,1077.5,12.5,17.315,17.82,26.815,67.0,10938.0,11592.425,25763.125,76.223,6.54,294.46,1826.2,359.4,2412.5,202.0,0.93,28890.0
LiGe3.5Sb2Te7,473,581.0,1397.796,1077.5,12.5,17.315,17.82,26.815,67.0,10938.0,11592.425,25763.125,76.223,6.54,294.46,1826.2,359.4,2412.5,233.0,0.94,29000.0
LiGe3.5Sb2Te7,523,581.0,1397.796,1077.5,12.5,17.315,17.82,26.815,67.0,10938.0,11592.425,25763.125,76.223,6.54,294.46,1826.2,359.4,2412.5,241.0,0.95,34400.0
LiGe3.5Sb2Te7,573,581.0,1397.796,1077.5,12.5,17.315,17.82,26.815,67.0,10938.0,11592.425,25763.125,76.223,6.54,294.46,1826.2,359.4,2412.5,252.0,0.95,35550.0
LiGe3.5Sb2Te7,623,581.0,1397.796,1077.5,12.5,17.315,17.82,26.815,67.0,10938.0,11592.425,25763.125,76.223,6.54,294.46,1826.2,359.4,2412.5,261.0,0.92,33300.0
